ID;Concierto;Recinto;Productora/organizadora;Tiquetera ;Fecha;Numero_asistentes;Tipo_ artista;Artista;Rango_precios;Opcion_descuento_entradas;Preventa;Cancelado;Cambio_recinto;Genero_musical
74;¿Quien trae las cornetas? World Tour Parte 2;Movistar Arena;Lotus;PuntoTicket;27-06-2024;Sin datos;Internacional;RAWAYANA;28.800 - 51.800;No;0;0;0;Trippy Pop
75;Tour DM-T;Movistar Arena;Iguana Producciones;PuntoTicket;28-06-2024;Sin datos;Internacional;Dread Mar I;20.700 - 80.500; Descuento Dia del Padre 30% - Promocion 2xCancha - Promocion 2xCanchaVIP;0;0;0;Reggae
76;IVE 1ST WORLD TOUR SHOW WHAT I HAVE;Movistar Arena;DG Medios;PuntoTicket;30-06-2024;Sin datos;Internacional;IVE;53.590 - 104.850;Descuento Entel - 20% Descuento Scotiabank - 20%;1;0;0;K-Pop
77;Robles Huracan Latam Tour;Movistar Arena;Snow Entertainment ;PuntoTicket;02-07-2024;Sin datos;Internacional;Robleis ;24.450 - 86.250;No;0;0;0;Pop
78;Proyecto A-Klein;Movistar Arena;Lotus;PuntoTicket;05-07-2024;15.000;Nacional;Jere Klein ;17.000 - 43.700;No;0;0;0;Urbana
79;Noches de Palenque;Movistar Arena;Iguana Producciones;PuntoTicket;06-07-2024;12.000;Internacional;Jessi Uribe ;20.700 - 126.500;Descuento Dia del Padre 30%;0;0;0;Ranchera
80;Gira Mundial 2024;Movistar Arena;Free Time;PuntoTicket;13-07-2024;No aplica;Internacional;Alejandro Lermer;45.600 - 91.200;No;0;1;0;Balada
81;Gira Mundial 2024;Movistar Arena;Free Time;PuntoTicket;13-07-2024;No aplica;Internacional;Noel Schajris;45.600 - 91.200;No;0;1;0;Balada
82;Pia Toscano En Concierto;Movistar Arena;Grupo Kam & Live Entertainment;PuntoTicket;18-07-2024;Sin datos ;Internacional;Pía Toscano;23.750 - 97.750;Descuento Especial 30% - Descuento Banco de Chile 20%;0;0;0;Pop
83;El Señor de los Anillos: La Comunidad del Anillo en concierto;Movistar Arena;TRANSISTOR;PuntoTicket;26-07-2024;Sin datos ;Internacional;Banda sonora de Howard Shore;28.750 - 151.800;No;0;0;0;Instrumental
84;No Te Va a Gustar Gira 30;Movistar Arena;TOMA;PuntoTicket;27-07-2024;Sin datos;Internacional;No Te Va A Gustar;20.700 - 41.400;No;1;0;0;Rock
85;Ta Bueno Tour;Movistar Arena;Iguana Producciones;PuntoTicket;15-08-2024;Sin datos;Internacional;Silvestre Dangond;18.400 - 2.300.000;Descuento Bar de Rio 30%;0;0;0;Vallenato
86;Descartable Gira 2024;Movistar Arena;Inversiones MP;PuntoTicket;16-08-2024;Sin datos ;Internacional;WOS;27.600 - 51.750;No;0;0;0;Rap
87;Pal Cora Tour;Movistar Arena;Iguana Producciones;PuntoTicket;17-08-2024;Sin datos;Internacional;Christian Nodal;29.900 - 276.000;Descuento Bar de Rio 30%;0;0;0;Mariachi
88;VIDA;Movistar Arena;Lotus;PuntoTicket;18-08-2024;Sin datos;Nacional;Ana Tijoux;23.000 - 51.800;No;0;0;0;Rap
89;Boca Chueca Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;21-08-2024;Sin datos;Internacional;Carin Leon;Sin datos;No;0;0;0;Mariachi
90;Invencible World Tour;Movistar Arena;La Oreja;PuntoTicket;24-08-2024;Sin datos;Nacional;Myriam Hernandez;27.600 - 166.750;Descuento Comunidad de las Artes 20%;0;0;0;Balada
91;Gladiator in Concert;Movistar Arena;Trussup;PuntoTicket;29-08-2024;Sin datos;Internacional;Banda sonora de Hans Zimmer;47.250 - 129.380;Descuento Tempo 25% - Descuento Itau 25% - Descuentos Convenios;0;0;0;Instrumental
92;Evolut30n;Movistar Arena;Chargola Pro;PuntoTicket;30-08-2024;Sin datos;Internacional;DJ Bobo;22.000 - 69.000;No;0;0;0;Pop
93;Preparaos?;Movistar Arena;Lotus;PuntoTicket;01-09-2024;Sin datos;Nacional;Movimiento Original;17.300 - 41.400;No;0;0;0;Hip hop
94;Ke Personajes Santiago;Movistar Arena;Fridom Producciones;PuntoTicket;02-09-2024;Sin datos;Internacional;Ke Personajes;25.300 - 70.150;No;1;0;0;Cumbia 
95;The Dream Show 3;Movistar Arena;DG Medios;PuntoTicket;05-09-2024;Sin datos;Internacional;NCT Dream;40.775 - 180.575;No;1;0;0;K-Pop
96;Chulistar;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;06-09-2024;No aplica;Internacional;De La Ghetto;11.500 - 80.500;No;0;1;0;Reggaeton 
97;Los 4F;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;09-09-2024;Sin datos;Nacional;Kidd Voodoo;11.500 - 69.000;No;1;0;0;Urbana
97;Los 4F;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;09-09-2024;Sin datos;Nacional;Young Cister;11.500 - 69.000;No;1;0;0;Urbana
97;Los 4F;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;09-09-2024;Sin datos;Nacional;Easykid ;11.500 - 69.000;No;1;0;0;Urbana
97;Los 4F;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;09-09-2024;Sin datos;Nacional;DrefQuila;11.500 - 69.000;No;1;0;0;Urbana
98;Andre Rieu And His Johann Strauss Orchestra;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;11-09-2024;12.000;Internacional;Andre Rieu;23.000 - 253.000;No;0;0;0;Clásica
99;Andre Rieu And His Johann Strauss Orchestra;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;12-09-2024;12.000;Internacional;Andre Rieu;23.000 - 253.000;No;0;0;0;Clásica
100;Andre Rieu And His Johann Strauss Orchestra;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;13-09-2024;12.000;Internacional;Andre Rieu;23.000 - 253.000;No;0;0;0;Clásica
101;Andre Rieu And His Johann Strauss Orchestra;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;14-09-2024;12.000;Internacional;Andre Rieu;23.000 - 253.000;No;0;0;0;Clásica
102;Andre Rieu And His Johann Strauss Orchestra;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;15-09-2024;12.000;Internacional;Andre Rieu;23.000 - 253.000;No;0;0;0;Clásica
103;Historia Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;23-09-2024;12.000;Internacional;Marc Anthony;11.500 - 345.000;No;1;0;0;Salsa
104;Historia Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;24-09-2024;Sin datos;Internacional;Marc Anthony;11.500 - 345.000;No;1;0;0;Salsa
105;GOTTI A Tour;Movistar Arena;Lotus;PuntoTicket;25-09-2024;No aplica;Internacional;Tiago PZK;23.000 - 80.500;No;0;1;0;Reggaeton 
106;Miranda!;Movistar Arena;Lotus;PuntoTicket;26-09-2024;15.000;Internacional;Miranda!;19.000 - 69.000;Descuento Banco de Chile  - 20%;1;0;0;Pop
